sweep,arm,budget,hop_type,n,em,f1,faithfulness,answer_relevance,mean_gen_input_tokens,mean_total_tokens,mean_cost_usd,mean_latency_s,em_ci_lo,em_ci_hi,f1_ci_lo,f1_ci_hi,apt_generator_per_1k,apt_total_per_1k
primary,naive_topk,4000,multi,300,0.7033,0.7836,0.8697,0.8963,4076.7,4076.7,0.000954,0.57,0.65,0.7533,0.7401,0.8248,,
primary,naive_topk,4000,single,300,0.3233,0.5364,0.9243,0.9333,4046.7,4046.7,0.000946,0.655,0.27,0.3767,0.4938,0.5793,,
primary,naive_topk_dedup,500,all,600,0.4817,0.61,0.8622,0.8908,573.6,573.6,0.000163,0.619,0.4417,0.5217,0.5764,0.644,0.8398,0.8398
primary,naive_topk_dedup,500,multi,300,0.64,0.711,0.7943,0.838,584.5,584.5,0.000164,0.61,0.5867,0.6933,0.6623,0.7586,,
primary,naive_topk_dedup,500,single,300,0.3233,0.5091,0.9302,0.9437,562.8,562.8,0.000163,0.628,0.27,0.3767,0.4653,0.5537,,
primary,naive_topk_dedup,1000,all,600,0.4983,0.637,0.8855,0.913,1071.5,1071.5,0.000284,0.597,0.4583,0.5383,0.6046,0.6686,0.465,0.465
primary,naive_topk_dedup,1000,multi,300,0.68,0.756,0.847,0.896,1083.7,1083.7,0.000285,0.519,0.6267,0.73,0.7099,0.7996,,
primary,naive_topk_dedup,1000,single,300,0.3167,0.518,0.924,0.93,1059.2,1059.2,0.000284,0.674,0.2633,0.37,0.4756,0.5605,,
primary,naive_topk_dedup,2000,all,600,0.5067,0.6516,0.895,0.9167,2067.6,2067.6,0.000526,0.6,0.4667,0.5467,0.6202,0.6832,0.2451,0.2451
primary,naive_topk_dedup,2000,multi,300,0.6967,0.7746,0.856,0.8917,2079.2,2079.2,0.000527,0.54,0.6433,0.7467,0.7297,0.8175,,
primary,naive_topk_dedup,2000,single,300,0.3167,0.5286,0.934,0.9417,2055.9,2055.9,0.000525,0.66,0.2633,0.37,0.4853,0.5703,,
primary,naive_topk_dedup,4000,all,600,0.5133,0.6603,0.897,0.9148,4061.8,4061.8,0.000953,0.631,0.4733,0.5533,0.629,0.6913,0.1264,0.1264
primary,naive_topk_dedup,4000,multi,300,0.7033,0.7836,0.8697,0.8963,4076.7,4076.7,0.000955,0.569,0.6533,0.7534,0.7404,0.8254,,
primary,naive_topk_dedup,4000,single,300,0.3233,0.5369,0.9243,0.9333,4046.8,4046.8,0.000951,0.694,0.27,0.3767,0.4942,0.578,,
primary,rerank_topk,500,all,600,0.5167,0.655,0.8988,0.9205,573.7,11971.1,0.00208,1.082,0.4767,0.5567,0.6223,0.6869,0.9006,0.0432
primary,rerank_topk,500,multi,300,0.6933,0.7718,0.8387,0.8773,584.5,12263.0,0.00209,1.028,0.64,0.7433,0.7267,0.8148,,
primary,rerank_topk,500,single,300,0.34,0.5382,0.959,0.9637,562.8,11679.1,0.002069,1.136,0.2867,0.3933,0.4962,0.5813,,
primary,rerank_topk,1000,all,600,0.5217,0.6674,0.9175,0.9377,1070.6,12468.0,0.000284,0.617,0.4817,0.5617,0.6357,0.6983,0.4873,0.0418
primary,rerank_topk,1000,multi,300,0.71,0.7954,0.8877,0.922,1082.8,12761.3,0.000285,0.566,0.66,0.76,0.7538,0.8354,,
primary,rerank_topk,1000,single,300,0.3333,0.5395,0.9473,0.9533,1058.5,12174.7,0.000283,0.667,0.28,0.3867,0.4968,0.582,,
primary,rerank_topk,2000,all,600,0.5317,0.6735,0.9067,0.9187,2066.5,13463.9,0.000525,0.642,0.4917,0.5717,0.6419,0.7044,0.2573,0.0395
primary,rerank_topk,2000,multi,300,0.7333,0.8051,0.876,0.898,2077.6,13756.0,0.000525,0.583,0.6833,0.7833,0.7638,0.8449,,
primary,rerank_topk,2000,single,300,0.33,0.5419,0.9373,0.9393,2055.4,13171.7,0.000524,0.702,0.2767,0.3833,0.4997,0.5842,,
primary,rerank_topk,4000,all,600,0.5267,0.6694,0.9123,0.9225,4060.2,15457.6,0.000942,0.648,0.4867,0.565,0.6383,0.6996,0.1297,0.0341
primary,rerank_topk,4000,multi,300,0.7333,0.8067,0.8893,0.9007,4075.8,15754.3,0.00094,0.594,0.6833,0.7833,0.7645,0.8478,,
primary,rerank_topk,4000,single,300,0.32,0.5322,0.9353,0.9443,4044.6,15160.9,0.000943,0.703,0.2667,0.3733,0.4891,0.5742,,
primary,summarize_recomp,500,all,600,0.4083,0.5337,0.9392,0.9637,266.7,12846.8,0.000238,2.364,0.3683,0.4467,0.4987,0.5683,1.5309,0.0318
primary,summarize_recomp,500,multi,300,0.6033,0.681,0.9177,0.9433,287.9,13155.7,0.000245,2.448,0.5467,0.66,0.6305,0.7303,,
primary,summarize_recomp,500,single,300,0.2133,0.3863,0.9607,0.984,245.4,12537.8,0.00023,2.28,0.1667,0.26,0.3437,0.4301,,
